index,BAL,TBR,BOS,NYY,TOR,MIN,DET,CHW,KCR,CLE,LAA,OAK,TEX,HOU,SEA,LAD,SFG,ARI,COL,SDP,MIL,STL,CHC,CIN,PIT,NYM,WSN,ATL,PHI,MIA
1.0,4.5,5.1,3.7,4.0,3.5,4.1,4.9,3.7,3.9,3.3,4.9,5.2,4.3,3.9,4.7,3.1,3.1,5.0,4.8,2.7,3.1,5.1,4.1,4.1,4.6,4.1,4.9,4.4,3.9,4.1
2.0,4.5,5.3,3.7,4.1,3.5,4.1,5.2,3.6,3.5,3.3,4.9,4.7,3.8,4.3,4.3,2.6,2.5,4.9,4.6,3.0,3.1,4.8,4.6,3.7,4.9,4.0,4.7,5.1,3.8,4.5
3.0,4.5,5.1,3.8,3.9,3.3,4.2,5.3,3.1,4.2,3.5,4.5,4.2,3.1,4.4,4.0,2.5,2.3,4.7,4.0,3.0,3.1,4.5,4.6,3.7,4.9,3.7,4.2,5.1,3.9,4.1
4.0,4.6,4.4,3.3,4.0,3.5,4.9,4.9,3.5,4.3,3.7,4.9,3.6,3.1,4.7,4.2,2.5,2.5,4.5,3.7,3.1,2.5,3.9,4.7,4.1,4.7,3.7,4.5,5.1,4.5,4.1
5.0,4.3,4.1,3.3,4.2,3.6,4.5,4.0,3.4,4.4,3.8,4.9,3.0,3.1,4.7,3.9,2.3,2.8,4.8,3.7,3.1,2.3,3.9,4.7,4.9,4.7,3.5,4.5,4.8,4.7,3.9
6.0,4.1,4.3,3.4,4.3,3.3,4.7,4.1,3.9,4.2,3.8,5.6,3.1,3.1,4.5,3.4,2.3,2.6,5.0,3.3,3.3,3.3,4.1,4.5,5.1,3.9,3.5,4.1,4.7,4.5,3.8
7.0,4.3,4.1,3.7,4.1,3.5,4.9,4.3,3.7,3.8,3.9,5.5,2.9,3.7,4.5,3.5,2.7,2.7,4.8,3.7,3.5,3.4,4.1,4.5,5.0,3.3,3.2,4.5,5.0,4.7,3.7
8.0,3.9,3.9,3.9,3.9,3.1,5.1,4.1,3.4,3.7,3.9,5.4,2.8,3.6,4.7,3.0,2.7,2.9,4.3,3.7,3.5,3.2,4.1,4.8,5.0,3.2,3.1,4.5,5.4,4.9,3.6
9.0,3.7,4.0,4.1,3.9,2.9,5.3,3.7,3.7,3.2,4.1,5.7,2.9,3.7,4.4,3.1,3.2,2.9,3.9,4.3,3.5,3.4,3.7,4.8,4.7,3.2,3.4,3.7,5.6,4.7,3.9
10.0,3.1,3.6,3.7,3.7,3.4,4.9,3.5,3.5,3.5,4.5,4.9,2.9,4.1,3.9,3.1,3.2,2.9,3.8,4.3,3.6,3.5,3.2,4.7,4.5,3.2,3.8,3.8,5.1,4.6,3.5
11.0,3.3,3.8,3.7,3.6,3.5,4.7,3.5,3.3,4.0,4.7,5.2,2.9,4.1,3.9,3.0,3.6,3.2,4.6,4.5,4.1,3.7,3.2,4.9,5.1,3.4,4.0,3.1,4.8,4.5,3.6
12.0,3.1,3.3,3.5,3.4,3.7,5.3,3.6,3.5,3.9,4.6,5.3,2.7,4.2,3.4,3.0,3.6,3.0,4.2,4.4,4.3,3.5,3.2,5.0,5.0,3.6,3.8,3.5,4.5,4.5,3.2
13.0,2.9,3.1,3.7,3.1,3.5,5.1,4.1,3.7,4.4,4.5,5.1,2.5,4.2,3.1,2.9,3.6,3.2,3.9,4.6,3.9,3.6,3.0,5.1,5.0,4.3,3.9,3.7,4.9,4.3,3.0
14.0,3.1,3.3,3.5,2.8,3.4,5.2,4.2,3.8,4.8,4.2,5.3,2.5,4.3,2.8,3.1,3.5,3.3,4.4,4.5,3.7,3.5,2.7,4.9,5.6,4.0,3.7,3.6,4.9,4.5,3.0
15.0,3.4,3.4,3.8,2.4,3.6,4.9,4.4,3.3,5.3,4.2,5.5,3.0,4.4,3.1,3.4,3.5,2.9,4.6,4.8,3.7,4.5,2.5,5.5,6.1,4.1,2.9,3.1,5.3,4.4,3.1
16.0,3.5,3.5,3.9,2.3,3.7,4.7,4.1,3.3,5.3,4.3,5.5,3.3,4.2,3.1,3.3,3.7,3.2,4.8,5.5,3.4,4.4,2.7,4.7,5.7,3.7,2.8,3.2,4.5,4.6,2.9
